"address","mtgroup","lat","long","mtlocation","wheelchair","mtday","mtstart","mtend","mttype","mtspin","mtzone"
"20 CARDINAL HAYES PL New York NY ","A DESIGN FOR LIVING","40.7132514","-74.002398","St Andrews Church",false,"Thursday","7:00 AM","8:00 AM","OD","null",1
"20 CARDINAL HAYES PL New York NY ","A DESIGN FOR LIVING","40.7132514","-74.002398","St Andrews Church",false,"Tuesday","7:00 AM","8:00 AM","B","null",1
"20 CARDINAL HAYES PL New York NY ","CHAMBERS STREET","40.7132514","-74.002398","St. Andrew''s Church",false,"Monday","12:15 PM","1:15 PM","OD","null",1
"20 CARDINAL HAYES PL New York NY ","CHAMBERS STREET","40.7132514","-74.002398","St. Andrew''s Church",false,"Wednesday","12:15 PM","1:15 PM","S","null",1
"20 CARDINAL HAYES PL New York NY ","CHAMBERS STREET","40.7132514","-74.002398","St. Andrew''s Church",false,"Thursday","12:15 PM","1:15 PM","B","null",1
"20 CARDINAL HAYES PL New York NY ","CHAMBERS STREET","40.7132514","-74.002398","St. Andrew''s Church",false,"Friday","12:15 PM","1:15 PM","BB","null",1
"29 MOTT ST New York NY ","CHINATOWN","40.7147965","-73.9990363","Church of the Transfiguration",false,"Tuesday","6:30 PM","7:30 PM","C","null",1
"49 FULTON ST New York NY ","DOWNTOWN","40.7080393","-74.0042361","St. Margaret''s Residence",true,"Monday","7:00 PM","8:00 PM","OD","null",1
"44 JOHN ST New York NY ","EXCHANGE VIEWS @ JOHN STREET CHURCH","40.7091732","-74.0080677",,false,"Monday","12:15 PM","1:15 PM","OD","null",1
"44 JOHN ST New York NY ","EXCHANGE VIEWS @ JOHN STREET CHURCH","40.7091732","-74.0080677",,false,"Tuesday","12:15 PM","1:15 PM","S","null",1
"44 JOHN ST New York NY ","EXCHANGE VIEWS @ JOHN STREET CHURCH","40.7091732","-74.0080677",,false,"Thursday","12:15 PM","1:15 PM","OD","null",1
"44 JOHN ST New York NY ","EXCHANGE VIEWS @ JOHN STREET CHURCH","40.7091732","-74.0080677",,false,"Monday","1:30 PM","2:30 PM","B","Living Sober",1
"44 JOHN ST New York NY ","EXCHANGE VIEWS @ JOHN STREET CHURCH","40.7091732","-74.0080677",,false,"Thursday","1:30 PM","2:30 PM","S","null",1
"49 FULTON ST New York NY ","EXCHANGE VIEWS @ ST. MARGARET''S HOUSE","40.7080393","-74.0042361",,true,"Monday","6:30 AM","7:30 AM","C","Topic",1
"49 FULTON ST New York NY ","EXCHANGE VIEWS @ ST. MARGARET''S HOUSE","40.7080393","-74.0042361",,true,"Tuesday","6:30 AM","7:30 AM","C","null",1
"49 FULTON ST New York NY ","EXCHANGE VIEWS @ ST. MARGARET''S HOUSE","40.7080393","-74.0042361",,true,"Wednesday","6:30 AM","7:30 AM","C","Topic",1
"49 FULTON ST New York NY ","EXCHANGE VIEWS @ ST. MARGARET''S HOUSE","40.7080393","-74.0042361",,true,"Thursday","6:30 AM","7:30 AM","S","null",1
"49 FULTON ST New York NY ","EXCHANGE VIEWS @ ST. MARGARET''S HOUSE","40.7080393","-74.0042361",,true,"Friday","6:30 AM","7:30 AM","BB","null",1
"49 FULTON ST New York NY ","EXCHANGE VIEWS @ ST. MARGARET''S HOUSE","40.7080393","-74.0042361",,true,"Monday","7:30 AM","8:30 AM","S","null",1
"49 FULTON ST New York NY ","EXCHANGE VIEWS @ ST. MARGARET''S HOUSE","40.7080393","-74.0042361",,true,"Tuesday","7:30 AM","8:30 AM","OD","null",1
"49 FULTON ST New York NY ","EXCHANGE VIEWS @ ST. MARGARET''S HOUSE","40.7080393","-74.0042361",,true,"Wednesday","7:30 AM","8:30 AM","OD","null",1
